country_asylum,year,value
AE,1985,6350.0
AE,1993,427.0
AE,1994,474.0
AE,1995,404.0
AE,1996,450.0
AE,1997,470.0
AE,1998,484.0
AE,1999,463.0
AE,2000,813.0
AE,2001,833.0
AE,2002,356.0
AE,2003,404.0
AE,2004,149.0
AE,2005,170.0
AE,2006,193.0
AE,2007,222.0
AE,2008,273.0
AE,2009,915.0
AE,2010,606.0
AE,2011,1990.0
AE,2012,2217.0
AE,2013,1514.0
AE,2014,1063.0
AE,2015,1215.0
AE,2016,1438.0
AF,1992,60000.0
AF,1993,47131.0
AF,1994,369656.0
AF,1995,180543.0
AF,1996,293998.0
AF,1997,311057.0
AF,1998,326994.0
AF,1999,258688.0
AF,2000,758653.0
AF,2001,1200006.0
AF,2002,1418521.0
AF,2003,266428.0
AF,2004,186999.0
AF,2005,159597.0
AF,2006,139793.0
AF,2007,161776.0
AF,2008,237170.0
AF,2009,304404.0
AF,2010,1199987.0
AF,2011,1480677.0
AF,2012,1400742.0
AF,2013,945530.0
AF,2014,1307175.0
AF,2015,1705912.0
AF,2016,1971667.0
AG,2007,4.0
AG,2013,1.0
AG,2015,15.0
AI,2015,1.0
AL,1992,6000.0
AL,1993,6000.0
AL,1994,6000.0
AL,1995,8738.0
AL,1996,8750.0
AL,1997,54.0
AL,1998,44656.0
AL,1999,879428.0
AL,2000,1331.0
AL,2001,5723.0
AL,2002,128.0
AL,2003,211.0
AL,2004,153.0
AL,2005,154.0
AL,2006,152.0
AL,2007,164.0
AL,2008,164.0
AL,2009,155.0
AL,2010,165.0
AL,2011,174.0
AL,2012,7628.0
AL,2013,7834.0
AL,2014,662.0
AL,2015,1002.0
AL,2016,2926.0
AM,1992,300000.0
AM,1993,411000.0
AM,1994,406039.0
AM,1995,315500.0
AM,1996,272000.0
AM,1997,272000.0
AM,1998,310012.0
AM,1999,296216.0
AM,2000,280591.0
AM,2001,264338.0
AM,2002,247553.0
AM,2003,239325.0
AM,2004,235302.0
AM,2005,219620.0
AM,2006,113792.0
AM,2007,4664.0
AM,2008,4125.0
AM,2009,85877.0
AM,2010,85844.0
AM,2011,85887.0
AM,2012,8767.0
AM,2013,13984.0
AM,2014,17705.0
AM,2015,19379.0
AM,2016,17935.0
AO,1985,91520.0
AO,1986,92200.0
AO,1987,92150.0
AO,1988,90400.0
AO,1989,12899.0
AO,1990,11557.0
AO,1991,13122.0
AO,1992,10993.0
AO,1993,99025.0
AO,1994,314992.0
AO,1995,11807.0
AO,1996,9969.0
AO,1997,9366.0
AO,1998,10615.0
AO,1999,13075.0
AO,2000,271023.0
AO,2001,215153.0
AO,2002,215180.0
AO,2003,14390.0
AO,2004,14903.0
AO,2005,14914.0
AO,2006,14678.0
AO,2007,14990.0
AO,2008,15895.0
AO,2009,33455.0
AO,2010,19263.0
AO,2011,19391.0
AO,2012,43750.0
AO,2013,43831.0
AO,2014,45686.0
AO,2015,45700.0
AO,2016,45678.0
AR,1985,1300.0
AR,1986,1690.0
AR,1993,644.0
AR,1994,1456.0
AR,1995,305.0
AR,1996,88.0
AR,1998,2270.0
AR,1999,2369.0
AR,2000,3636.0
AR,2001,3903.0
AR,2002,4004.0
AR,2003,3868.0
AR,2004,3919.0
AR,2005,3907.0
AR,2006,4053.0
AR,2007,4363.0
AR,2008,2616.0
AR,2009,3120.0
AR,2010,3354.0
AR,2011,4036.0
AR,2012,4864.0
AR,2013,3734.0
AR,2014,3795.0
AR,2015,3741.0
AR,2016,6747.0
AT,1992,85836.0
AT,1993,79461.0
AT,1994,34.0
AT,1996,78131.0
AT,1997,73885.0
AT,1998,81371.0
AT,1999,93597.0
AT,2000,20774.0
AT,2001,17296.0
AT,2002,16778.0
AT,2003,17515.0
AT,2004,23252.0
AT,2005,27028.0
AT,2006,77794.0
AT,2007,75735.0
AT,2008,79443.0
AT,2009,76236.0
AT,2010,70215.0
AT,2011,71901.0
AT,2012,77116.0
AT,2013,81068.0
AT,2014,93524.0
AT,2015,150512.0
AT,2016,166090.0
AU,1993,200.0
AU,1994,73.0
AU,1995,51.0
AU,1996,82044.0
AU,1997,81151.0
AU,1998,84513.0
AU,1999,85032.0
AU,2000,82151.0
AU,2001,77929.0
AU,2002,75230.0
AU,2003,66271.0
AU,2004,70755.0
AU,2005,69980.0
AU,2006,72278.0
AU,2007,22370.0
AU,2008,22720.0
AU,2009,24468.0
AU,2010,24828.0
AU,2011,28130.0
AU,2012,39712.0
AU,2013,45752.0
AU,2014,54405.0
AU,2015,54796.0
AU,2016,68071.0
AW,2010,1.0
AW,2011,4.0
AW,2012,6.0
AW,2013,7.0
AW,2014,5.0
AW,2015,2.0
AZ,1992,195000.0
AZ,1993,978000.0
AZ,1994,893710.0
AZ,1995,822100.0
AZ,1996,782722.0
AZ,1997,784791.0
AZ,1998,797955.0
AZ,1999,791192.0
AZ,2000,627785.0
AZ,2001,587290.0
AZ,2002,588217.0
AZ,2003,585175.0
AZ,2004,618797.0
AZ,2005,584299.0
AZ,2006,692014.0
AZ,2007,691589.0
AZ,2008,607925.0
AZ,2009,590297.0
AZ,2010,596866.0
AZ,2011,602729.0
