year,country_origin,value
1994,AD,2.0
1995,AD,2.0
1996,AD,3.0
1997,AD,1.0
1998,AD,2.0
1999,AD,3.0
2000,AD,3.0
2001,AD,8.0
2002,AD,13.0
2003,AD,13.0
2004,AD,7.0
2005,AD,12.0
2006,AD,11.0
2007,AD,12.0
2008,AD,9.0
2009,AD,8.0
2010,AD,8.0
2011,AD,6.0
2012,AD,7.0
2013,AD,5.0
2014,AD,7.0
2015,AD,9.0
1997,AE,4.0
1998,AE,7.0
1999,AE,7.0
2000,AE,25.0
2001,AE,49.0
2002,AE,69.0
2003,AE,45.0
2004,AE,82.0
2005,AE,46.0
2006,AE,277.0
2007,AE,318.0
2008,AE,267.0
2009,AE,440.0
2010,AE,453.0
2011,AE,500.0
2012,AE,608.0
2013,AE,156.0
2014,AE,170.0
2015,AE,204.0
2016,AE,254.0
1985,AF,4654343.0
1986,AF,5095453.0
1987,AF,5511740.0
1988,AF,5623642.0
1989,AF,5644909.0
1990,AF,6360675.0
1991,AF,6484571.0
1992,AF,6129086.0
1993,AF,3376455.0
1994,AF,3060507.0
1995,AF,3027487.0
1996,AF,2832962.0
1997,AF,2763177.0
1998,AF,2776334.0
1999,AF,2954722.0
2000,AF,4020160.0
2001,AF,3966691.0
2002,AF,4594978.0
2003,AF,2908231.0
2004,AF,3411302.0
2005,AF,3032628.0
2006,AF,2610785.0
2007,AF,3448016.0
2008,AF,3136897.0
2009,AF,2976610.0
2010,AF,3211033.0
2011,AF,2776321.0
2012,AF,2748246.0
2013,AF,2671814.0
2014,AF,2706606.0
2015,AF,2986659.0
2016,AF,3257811.0
1997,AG,1.0
1998,AG,2.0
1999,AG,2.0
2000,AG,9.0
2001,AG,13.0
2002,AG,46.0
2003,AG,31.0
2004,AG,28.0
2005,AG,24.0
2006,AG,28.0
2007,AG,25.0
2008,AG,52.0
2009,AG,70.0
2010,AG,61.0
2011,AG,65.0
2012,AG,79.0
2013,AG,78.0
2014,AG,70.0
2015,AG,68.0
2016,AG,105.0
2014,AI,1.0
2015,AI,1.0
1985,AL,3067.0
1986,AL,90.0
