year,country,value
1985,AE,5370.0
1985,AO,878.0
1985,AR,1199.0
1985,BH,300.0
1985,BI,70408.0
1985,BJ,3600.0
1985,BO,169.0
1985,BW,4930.0
1985,BZ,9000.0
1985,CF,73200.0
1985,CI,380.0
1985,CL,-2041.0
1985,CM,35100.0
1985,CO,110.0
1985,CR,21500.0
1985,CU,-1076.0
1985,DJ,17280.0
1985,DO,5999.0
1985,DZ,165097.0
1985,EC,880.0
1985,EG,633.0
1985,ET,-1685629.0
1985,GR,3410.0
1985,GT,-40890.0
1985,HN,60000.0
1985,ID,-11200.0
1985,IN,6840.0
1985,IQ,1607.0
1985,IT,17435.0
1985,JO,297.0
1985,KE,8640.0
1985,KW,2880.0
1985,LB,-32750.0
1985,LS,11500.0
1985,MA,59.0
1985,MX,165000.0
1985,MY,96850.0
1985,MZ,-71520.0
1985,NG,5689.0
1985,NI,-34760.0
1985,PA,900.0
1985,PE,390.0
1985,PG,11820.0
1985,PH,-86850.0
1985,PK,2729909.0
1985,QA,200.0
1985,RW,-319341.0
1985,SA,130000.0
1985,SD,1162505.0
1985,SL,160.0
1985,SN,5350.0
1985,SO,810170.0
1985,SV,-181014.0
1985,SY,36731.0
1985,SZ,10400.0
1985,TG,2495.0
1985,TH,31760.0
1985,TR,-930.0
1985,TZ,199439.0
1985,UG,-207230.0
1985,VE,1940.0
1985,YE,5199.0
1985,ZM,94390.0
1985,ZW,58500.0
1986,AO,-15742.0
1986,AR,1638.0
1986,BF,20.0
1986,BI,45729.0
1986,BJ,3620.0
1986,BO,119.0
1986,BR,67.0
1986,BW,5110.0
1986,BZ,9000.0
1986,CF,28120.0
1986,CI,400.0
1986,CM,54530.0
1986,CO,0.0
1986,CR,28400.0
1986,DJ,17150.0
1986,DO,5999.0
1986,DZ,165079.0
1986,EC,460.0
1986,EG,842.0
1986,ET,-1616408.0
1986,GH,-2769.0
1986,GR,2230.0
1986,GT,-40800.0
1986,HN,67899.0
1986,ID,-12420.0
1986,IN,6700.0
1986,IQ,255.0
1986,IT,16057.0
1986,KE,9320.0
1986,LB,1790.0
1986,LR,70.0
1986,LS,11450.0
1986,ML,50.0
1986,MW,99560.0
1986,MX,165100.0
1986,MY,90000.0
1986,MZ,-192940.0
1986,NG,4688.0
1986,NI,-59000.0
1986,PA,1020.0
1986,PE,370.0
1986,PG,12420.0
1986,PH,-89210.0
1986,PK,2878099.0
1986,RW,-341451.0
1986,SA,152100.0
1986,SD,1026241.0
1986,SL,170.0
1986,SN,5350.0
1986,SO,801288.0
1986,SV,-171744.0
1986,SY,96.0
1986,SZ,11800.0
