country_asylum,Year,Value
AE,1977,390.0
AE,1978,390.0
AE,1979,590.0
AE,1980,2490.0
AE,1981,6090.0
AE,1982,3590.0
AE,1983,3590.0
AE,1984,4570.0
AE,1985,5370.0
AE,1993,389.0
AE,1994,448.0
AE,1995,375.0
AE,1996,427.0
AE,1997,451.0
AE,1998,465.0
AE,1999,457.0
AE,2000,800.0
AE,2001,827.0
AE,2002,353.0
AE,2003,396.0
AE,2004,145.0
AE,2005,165.0
AE,2006,170.0
AE,2007,205.0
AE,2008,242.0
AE,2009,899.0
AE,2010,582.0
AE,2011,1972.0
AE,2012,2207.0
AE,2013,1506.0
AE,2014,1059.0
AE,2015,1213.0
AE,2016,1438.0
AF,1992,60000.0
AF,1993,47108.0
AF,1994,369652.0
AF,1995,180540.0
AF,1996,293995.0
AF,1997,311055.0
AF,1998,326994.0
AF,1999,258688.0
AF,2000,758653.0
AF,2001,1200003.0
AF,2002,1418507.0
AF,2003,266368.0
AF,2004,186945.0
AF,2005,159560.0
AF,2006,139754.0
AF,2007,161736.0
AF,2008,237136.0
AF,2009,304365.0
AF,2010,1199936.0
AF,2011,1480618.0
AF,2012,1400693.0
AF,2013,945476.0
AF,2014,1307119.0
AF,2015,1705863.0
AF,2016,1971618.0
AG,2007,4.0
AG,2013,1.0
AG,2015,15.0
AI,2015,1.0
AL,1995,602.0
AL,1996,602.0
AL,1997,6.0
AL,1998,6.0
AL,1999,12.0
AL,2000,17.0
AL,2001,45.0
AL,2002,31.0
AL,2003,21.0
AL,2004,23.0
AL,2005,22.0
AL,2006,24.0
AL,2007,30.0
AL,2008,18.0
AL,2009,20.0
AL,2010,25.0
AL,2011,32.0
AL,2012,7479.0
AL,2013,7491.0
AL,2014,47.0
AL,2015,34.0
AL,2016,34.0
AM,1992,300000.0
AM,1993,411000.0
AM,1994,406000.0
AM,1995,315500.0
AM,1996,272000.0
AM,1997,272000.0
AM,1998,310012.0
AM,1999,296216.0
AM,2000,280591.0
AM,2001,264335.0
AM,2002,247549.0
AM,2003,239318.0
AM,2004,235295.0
AM,2005,219613.0
AM,2006,113785.0
AM,2007,4653.0
AM,2008,4106.0
AM,2009,85849.0
AM,2010,85814.0
AM,2011,85856.0
AM,2012,8731.0
AM,2013,13941.0
AM,2014,17654.0
AM,2015,19322.0
AM,2016,17884.0
AO,1976,5000.0
AO,1977,10000.0
AO,1978,31000.0
AO,1979,36000.0
AO,1980,55000.0
AO,1981,75000.0
AO,1982,76220.0
AO,1983,76220.0
AO,1984,79000.0
AO,1985,78300.0
AO,1986,79000.0
AO,1987,79000.0
AO,1988,78200.0
AO,1989,3245.0
AO,1990,2345.0
AO,1991,2353.0
AO,1992,224.0
AO,1993,88238.0
AO,1994,303991.0
AO,1995,37.0
AO,1996,39.0
AO,1997,43.0
AO,1998,198.0
AO,1999,193.0
AO,2000,257788.0
AO,2001,202305.0
AO,2002,202341.0
AO,2003,487.0
AO,2004,522.0
AO,2005,547.0
AO,2006,1211.0
AO,2007,2757.0
AO,2008,2937.0
AO,2009,18360.0
AO,2010,3898.0
AO,2011,4010.0
AO,2012,20929.0
AO,2013,20286.0
AO,2014,32179.0
AO,2015,32193.0
AO,2016,32176.0
AR,1971,230.0
AR,1972,280.0
AR,1974,16500.0
AR,1975,15060.0
AR,1976,2690.0
AR,1982,130.0
AR,1985,1300.0
AR,1986,1690.0
AR,1993,541.0
AR,1994,1326.0
AR,1995,305.0
AR,1996,74.0
AR,1998,825.0
AR,1999,918.0
AR,2000,2167.0
AR,2001,2421.0
AR,2002,2519.0
AR,2003,2368.0
AR,2004,2405.0
AR,2005,2375.0
AR,2006,2522.0
AR,2007,2822.0
AR,2008,2483.0
AR,2009,2985.0
AR,2010,3205.0
AR,2011,3890.0
AR,2012,4705.0
AR,2013,3569.0
AR,2014,3628.0
AR,2015,3583.0
AR,2016,6553.0
AT,1993,5.0
AT,1994,34.0
AT,1996,78131.0
AT,1997,73885.0
AT,1998,77718.0
AT,1999,73997.0
AT,2000,8064.0
AT,2001,6912.0
AT,2002,6230.0
AT,2003,5895.0
AT,2004,7358.0
AT,2005,7807.0
AT,2006,32787.0
AT,2007,31668.0
AT,2008,33395.0
AT,2009,34845.0
AT,2010,32674.0
AT,2011,36312.0
AT,2012,41281.0
AT,2013,45192.0
AT,2014,59291.0
AT,2015,118007.0
AT,2016,135791.0
AU,1993,200.0
AU,1994,73.0
AU,1995,51.0
AU,1996,29619.0
AU,1997,30621.0
AU,1998,37202.0
AU,1999,39235.0
AU,2000,50285.0
AU,2001,51638.0
AU,2002,50920.0
AU,2003,47423.0
