year,Country Code,population
1985,AE,1391052.0
1993,AE,2207405.0
1994,AE,2328686.0
1995,AE,2448820.0
1996,AE,2571020.0
1997,AE,2700010.0
1998,AE,2838145.0
1999,AE,2988162.0
2000,AE,3154925.0
2001,AE,3326032.0
2002,AE,3507232.0
2003,AE,3741932.0
2004,AE,4087931.0
2005,AE,4579562.0
2006,AE,5242032.0
2007,AE,6044067.0
2008,AE,6894278.0
2009,AE,7666393.0
2010,AE,8270684.0
2011,AE,8672475.0
2012,AE,8900453.0
2013,AE,9006263.0
2014,AE,9070867.0
2015,AE,9154302.0
2016,AE,9269612.0
1992,AF,13981231.0
1993,AF,15095099.0
1994,AF,16172719.0
1995,AF,17099541.0
1996,AF,17822884.0
1997,AF,18381605.0
1998,AF,18863999.0
1999,AF,19403676.0
2000,AF,20093756.0
2001,AF,20966463.0
2002,AF,21979923.0
2003,AF,23064851.0
2004,AF,24118979.0
2005,AF,25070798.0
2006,AF,25893450.0
2007,AF,26616792.0
2008,AF,27294031.0
2009,AF,28004331.0
2010,AF,28803167.0
2011,AF,29708599.0
2012,AF,30696958.0
2013,AF,31731688.0
2014,AF,32758020.0
2015,AF,33736494.0
2016,AF,34656032.0
2007,AG,91381.0
2013,AG,97824.0
2015,AG,99923.0
1992,AL,3247039.0
1993,AL,3227287.0
1994,AL,3207536.0
1995,AL,3187784.0
1996,AL,3168033.0
1997,AL,3148281.0
1998,AL,3128530.0
1999,AL,3108778.0
2000,AL,3089027.0
2001,AL,3060173.0
2002,AL,3051010.0
2003,AL,3039616.0
2004,AL,3026939.0
2005,AL,3011487.0
2006,AL,2992547.0
2007,AL,2970017.0
2008,AL,2947314.0
2009,AL,2927519.0
2010,AL,2913021.0
2011,AL,2905195.0
2012,AL,2900401.0
2013,AL,2895092.0
2014,AL,2889104.0
2015,AL,2880703.0
2016,AL,2876101.0
1992,AM,3442810.0
1993,AM,3363098.0
1994,AM,3283660.0
1995,AM,3217342.0
1996,AM,3168215.0
1997,AM,3133086.0
1998,AM,3108684.0
1999,AM,3089017.0
2000,AM,3069588.0
2001,AM,3050655.0
2002,AM,3033897.0
2003,AM,3017806.0
2004,AM,3000612.0
2005,AM,2981259.0
2006,AM,2958500.0
2007,AM,2933056.0
2008,AM,2908220.0
2009,AM,2888584.0
2010,AM,2877311.0
2011,AM,2875581.0
2012,AM,2881922.0
2013,AM,2893509.0
2014,AM,2906220.0
2015,AM,2916950.0
2016,AM,2924816.0
1985,AO,10609042.0
1986,AO,10921037.0
1987,AO,11218268.0
1988,AO,11513968.0
1989,AO,11827237.0
1990,AO,12171441.0
1991,AO,12553446.0
1992,AO,12968345.0
1993,AO,13403734.0
1994,AO,13841301.0
1995,AO,14268994.0
1996,AO,14682284.0
1997,AO,15088981.0
1998,AO,15504318.0
1999,AO,15949766.0
2000,AO,16440924.0
2001,AO,16983266.0
2002,AO,17572649.0
2003,AO,18203369.0
2004,AO,18865716.0
2005,AO,19552542.0
2006,AO,20262399.0
2007,AO,20997687.0
2008,AO,21759420.0
2009,AO,22549547.0
2010,AO,23369131.0
2011,AO,24218565.0
2012,AO,25096150.0
2013,AO,25998340.0
2014,AO,26920466.0
2015,AO,27859305.0
2016,AO,28813463.0
1985,AR,30388783.0
1986,AR,30857244.0
1993,AR,34110917.0
1994,AR,34558115.0
1995,AR,34994814.0
1996,AR,35419682.0
1998,AR,36241590.0
1999,AR,36648068.0
2000,AR,37057452.0
2001,AR,37471509.0
2002,AR,37889370.0
2003,AR,38309379.0
2004,AR,38728696.0
2005,AR,39145488.0
2006,AR,39558890.0
2007,AR,39970224.0
2008,AR,40382389.0
2009,AR,40799407.0
2010,AR,41223889.0
2011,AR,41656879.0
2012,AR,42096739.0
2013,AR,42539925.0
2014,AR,42981515.0
2015,AR,43417765.0
2016,AR,43847430.0
1992,AT,7840709.0
1993,AT,7905633.0
1994,AT,7936118.0
1996,AT,7959017.0
1997,AT,7968041.0
1998,AT,7976789.0
1999,AT,7992324.0
2000,AT,8011566.0
2001,AT,8042293.0
2002,AT,8081957.0
2003,AT,8121423.0
2004,AT,8171966.0
2005,AT,8227829.0
2006,AT,8268641.0
2007,AT,8295487.0
2008,AT,8321496.0
2009,AT,8343323.0
2010,AT,8363404.0
2011,AT,8391643.0
2012,AT,8429991.0
2013,AT,8479375.0
2014,AT,8541575.0
2015,AT,8633169.0
2016,AT,8747358.0
1993,AU,17667000.0
1994,AU,17855000.0
1995,AU,18072000.0
1996,AU,18311000.0
1997,AU,18517000.0
1998,AU,18711000.0
1999,AU,18926000.0
2000,AU,19153000.0
2001,AU,19413000.0
2002,AU,19651400.0
2003,AU,19895400.0
2004,AU,20127400.0
2005,AU,20394800.0
2006,AU,20697900.0
2007,AU,20827600.0
2008,AU,21249200.0
2009,AU,21691700.0
2010,AU,22031750.0
2011,AU,22340024.0
2012,AU,22728254.0
2013,AU,23117353.0
2014,AU,23460694.0
2015,AU,23789338.0
2016,AU,24127159.0
2010,AW,101669.0
2011,AW,102053.0
2012,AW,102577.0
2013,AW,103187.0
2014,AW,103795.0
2015,AW,104341.0
1992,AZ,7382000.0
1993,AZ,7495000.0
1994,AZ,7597000.0
1995,AZ,7685000.0
1996,AZ,7763000.0
1997,AZ,7838250.0
1998,AZ,7913000.0
1999,AZ,7982750.0
2000,AZ,8048600.0
2001,AZ,8111200.0
2002,AZ,8171950.0
2003,AZ,8234100.0
2004,AZ,8306500.0
2005,AZ,8391850.0
2006,AZ,8484550.0
2007,AZ,8581300.0
2008,AZ,8763400.0
2009,AZ,8947243.0
2010,AZ,9054332.0
2011,AZ,9173082.0
2012,AZ,9295784.0
2013,AZ,9416801.0
2014,AZ,9535079.0
2015,AZ,9649341.0
2016,AZ,9762274.0
1997,BA,3752431.0
1998,BA,3750485.0
1999,BA,3759118.0
2000,BA,3766706.0
2001,BA,3771284.0
2002,BA,3775807.0
2003,BA,3779247.0
2004,BA,3781287.0
2005,BA,3781530.0
2006,BA,3779468.0
2007,BA,3774000.0
2008,BA,3763599.0
2009,BA,3746561.0
2010,BA,3722084.0
2011,BA,3688865.0
2012,BA,3648200.0
2013,BA,3604999.0
2014,BA,3566002.0
2015,BA,3535961.0
2016,BA,3516816.0
2012,BB,281585.0
2013,BB,282509.0
2014,BB,283385.0
1991,BD,108727432.0
1992,BD,111221938.0
1993,BD,113695139.0
1994,BD,116182267.0
1995,BD,118706871.0
1996,BD,121269645.0
1997,BD,123854640.0
1998,BD,126447965.0
1999,BD,129029691.0
2000,BD,131581243.0
2001,BD,134107160.0
2002,BD,136600667.0
2003,BD,139019001.0
2004,BD,141307489.0
2005,BD,143431101.0
2006,BD,145368004.0
2007,BD,147139191.0
2008,BD,148805814.0
2009,BD,150454708.0
2010,BD,152149102.0
2011,BD,153911916.0
2012,BD,155727053.0
2013,BD,157571292.0
2014,BD,159405279.0
2015,BD,161200886.0
2016,BD,162951560.0
1985,BE,9858308.0
1994,BE,10115603.0
1995,BE,10136811.0
1996,BE,10156637.0
1997,BE,10181245.0
1998,BE,10203008.0
1999,BE,10226419.0
2000,BE,10251250.0
